calle;lat;lon;etiqueta
Cerrito;-38,052798;-57,581552;calle
Cerrito;-38,031074;-57,555361;calle
Cerrito;-38,044653;-57,571729;etiqueta
F. de la Plaza;-38,012686;-57,614092;calle
F. de la Plaza;-38,063105;-57,547285;calle
F. de la Plaza;-38,032586;-57,587722;etiqueta
J.B. Justo;-37,99987;-57,596504;calle
J.B. Justo;-38,040443;-57,54272;calle
J.B. Justo;-38,018839;-57,571344;etiqueta
Talcahuano;-38,022954;-57,565883;calle
Talcahuano;-38,044815;-57,592261;calle
Talcahuano;-38,036622;-57,582371;etiqueta
